"Life exp.","GDPpcap"
"1",64.047,1.758465636
"2",78.495,11.80328388
"3",76.293,13.87629464
"4",61.809,6.044972035
"5",76.519,22.85574802
"6",76.738,18.94514402
"7",74.782,8.744731368
"8",76.01,35.86182812
"9",82.49756098,44.88801999
"10",81.64146341,45.49304535
"11",72.123,15.92939963
"12",75.823,28.7052785
"13",77.038,43.32044036
"14",72.808,3.634316954
"15",76.057,16.83900058
"16",74.12926829,17.19342414
"17",81.43902439,42.78105782
"18",70.588,7.726380697
"19",61.171,2.06928528
"20",70.565,9.246676763
"21",69.473,6.798929349
"22",77.087,12.27460521
"23",67.618,16.16533839
"24",75.723,14.23601775
"25",77.374,72.523836
"26",74.81219512,18.60622003
"27",60.77,1.696234138
"28",57.857,0.6707770725
"29",73.004,6.387095706
"30",69.331,3.653641495
"31",58.575,3.312899677
"32",82.4704878,43.85242489
"33",52.89,0.7538248792
"34",53.208,1.753771876
"35",79.732,22.296837
"36",76.41,15.25399307
"37",74.562,13.18620683
"38",63.912,2.500569443
"39",60.031,0.8077529051
"40",65.088,5.103142821
"41",80.03,15.43030863
"42",54.102,3.564595846
"43",77.82682927,22.83494166
"44",78.01707317,25.11091477
"45",80.67,33.04754579
"46",79.47560976,32.57078118
"47",81.00487805,47.2696913
"48",74.048,14.95343649
"49",76.551,10.4537099
"50",71.661,10.67280022
"51",73.75,7.246755527
"52",57.939,22.29894214
"53",77.64146341,29.91635691
"54",58.268,9.567585628
"55",65.874,1.724482541
"56",70.417,9.379297794
"57",81.42926829,41.0180502
"58",82.52439024,38.95583397
"59",66.48,16.1449353
"60",61.424,1.465335551
"61",73.436,9.702168277
"62",80.9902439,45.46202833
"63",63.033,4.051461891
"64",81.38780488,24.60167323
"65",73.78,13.39690285
"66",73.654,7.423170622
"67",60.617,2.213463585
"68",57.805,1.576748994
"69",66.766,7.399136096
"70",63.589,1.653001342
"71",73.774,4.468999058
"72",84.6804878,56.08769343
"73",76.06341463,26.86057332
"74",82.20487805,47.83951903
"75",68.803,6.51617262
"76",69.355,11.1610212
"77",76.153,19.09796678
"78",70.038,15.82958889
"79",81.95609756,66.60442851
"80",82.60243902,33.22044963
"81",83.24390244,35.37316869
"82",76.097,8.153886686
"83",84.0997561,38.90736814
"84",74.476,8.298545893
"85",72.95,24.07854516
"86",67.291,2.961461738
"87",66.506,2.025042945
"88",82.62682927,35.93837422
"89",71.94634146,9.779858078
"90",74.811,66.00858461
"91",71.2,3.39361799
"92",67.021,6.307628082
"93",74.6804878,25.02979255
"94",79.758,11.64701809
"95",54.568,2.845889522
"96",63.006,1.17563541
"97",72.11,17.32146121
"98",74.67073171,29.60387703
"99",82.68536585,93.10178496
"100",83.991,105.448677
"101",66.312,1.418309584
"102",63.671,1.154028727
"103",75.452,27.27185923
"104",77.649,13.33293838
"105",58.456,2.019441058
"106",82.45365854,36.98891847
"107",63.384,3.696353104
"108",74.51463415,20.31949111
"109",77.305,17.94901995
"110",69.316,3.185280685
"111",71.718,6.234310347
"112",69.465,11.62285369
"113",77.271,16.47739299
"114",76.059,7.508795434
"115",58.872,1.176846424
"116",66.744,5.6103247
"117",64.85,10.09323318
"118",70.604,2.605510114
"119",81.56097561,48.78913571
"120",81.65853659,36.04639432
"121",75.653,5.169297773
"122",60.422,0.9206266175
"123",53.875,5.351441254
"124",75.851,13.13953555
"125",82.5097561,64.965386
"126",77.258,37.32858836
"127",66.629,4.771205236
"128",78.195,22.24354948
"129",65.705,3.880650005
"130",73.211,11.79046156
"131",75.22,12.5181634
"132",69.238,7.580847417
"133",77.85121951,27.34627981
"134",81.12439024,28.03461996
"135",79.97363415,35.45440627
"136",78.331,113.2621816
"137",75.3097561,23.44160669
"138",72.11902439,24.79064833
"139",67.496,1.892676646
"140",75.24,6.069604785
"141",66.762,3.01106566
"142",74.72,48.80396059
"143",67.477,3.232310165
"144",76.08780488,15.28909738
"145",74.3,26.4158067
"146",52.214,1.403791088
"147",82.89512195,87.76036815
"148",77.16585366,30.13292048
"149",81.17560976,31.35130424
"150",71.006,2.126352921
"151",63.404,12.23336897
"152",83.32926829,34.26911624
"153",75.485,11.70584378
"154",75.696,12.33366302
"155",73.294,10.70426902
"156",64.698,4.435857095
"157",71.523,13.63627551
"158",82.30731707,46.68117148
"159",83.60243902,57.99764349
"160",71.214,2.923673718
"161",66.31,2.809069009
"162",75.498,16.28563737
"163",69.199,6.740890192
"164",60.477,1.529515368
"165",73.179,5.745951292
"166",70.783,28.56684108
"167",75.943,10.95002738
"168",76.009,25.02401614
"169",67.956,16.39017898
"170",60.182,1.768211137
"171",71.78097561,7.906540301
"172",77.412,66.67597347
"173",81.15609756,39.86234552
"174",78.53902439,54.47079667
"175",77.645,20.65847444
"176",71.42,6.039503813
"177",72.334,2.827080453
"178",76.454,6.233485045
"179",73.646,4.651723645
"180",65.157,2.40442237
"181",62.255,3.717667166
"182",61.712,2.568410072
